ano (uid);ano (nome);local (uid);local (nome);abrangencia (uid);abrangencia (nome);pais (uid);pais (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);lococor (uid);lococor (nome);atestante (uid);atestante (nome);grupoetario (uid);grupoetario (nome);racacor (uid);racacor (nome);sexo (uid);sexo (nome);indicador (uid);indicador (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200001;Óbitos totais;101.976;88.945;97.008;93.499;100.643;102.842;106.631;100.940;95.415;96.038;91.322;95.239;1.170.498
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200002;(A00-B99) Algumas doenças infecciosas e parasitárias;4.276;3.984;4.316;3.970;4.338;4.142;4.201;4.136;3.952;4.060;3.864;3.936;49.175
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200934;(C00-D48) Neoplasias [tumores];15.710;14.191;15.618;15.169;15.897;15.282;15.669;15.510;15.072;15.487;15.166;15.613;184.384
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;201807;(D50-D89) Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;510;509;595;567;548;556;571;512;488;478;514;496;6.344
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202005;(E00-E90) Doenças endócrinas, nutricionais e metabólicas;6.352;5.711;6.030;5.727;6.368;6.524;6.982;6.509;6.142;6.063;5.660;5.861;73.929
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202425;(F00-F99) Transtornos mentais e comportamentais;1.264;1.118;1.096;1.080;1.148;1.200;1.286;1.180;1.100;1.071;1.094;1.088;13.725
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202904;(G00-G99) Doenças do sistema nervoso;2.351;2.059;2.292;2.140;2.224;2.424;2.513;2.299;2.228;2.141;2.042;2.235;26.948
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203303;(H00-H59) Doenças do olho e anexos;1;0;3;2;4;0;1;4;4;1;3;0;23
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203622;(H60-H95) Doenças do ouvido e da apófise mastóide;9;13;10;6;9;14;17;14;13;14;18;13;150
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203762;(I00-I99) Doenças do aparelho circulatório;28.355;24.658;27.306;26.194;28.851;30.597;31.654;29.815;27.603;27.528;25.930;26.722;335.213
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;204228;(J00-J99) Doenças do aparelho respiratório;11.356;9.731;10.063;9.963;10.992;11.968;12.751;11.078;10.405;9.914;9.077;9.395;126.693
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;204516;(K00-K93) Doenças do aparelho digestivo;5.084;4.585;5.081;4.904;5.221;5.117;5.286;5.190;4.697;4.827;4.758;4.957;59.707
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;205013;(L00-L99) Doenças da pele e do tecido subcutâneo;262;246;289;271;298;267;321;302;303;276;264;296;3.395
2011;2011;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;205417;(M00-M99) Doenças do sistema osteomuscular e do tecido conjuntivo;415;343;376;366;388;402;370;379;364;370;362;353;4.488
